Pool,Sex,Treament,SexTreat,IFNy,IL10,IL12p70,IL1B,IL2,IL4,IL5,IL6,KC/GRO,TNFa,IL15,IL17AF,IL27p28/IL30,IL33,IL9,IP10,MCP1,MIP1a,MIP2,WeightRate,il10,tnfa,il6,il1b,iNOS,foxp3,Ferm,Roast
"5,7",Male,HF,1,0.51953236,24.95563372,25.33688927,0.315381246,0.415306459,0,3.129514388,19.72950302,156.881888,14.10763116,50.24667158,0.07668547,4.001874819,2.3704078,10.13006691,177.8824526,18.99210302,3.061965891,66.37177967,1.79125,0.940193272,1.30842166,1.058270196,1.210772721,0.974617551,0.856386129,HF,HF
"1,10",Male,HF,1,0.483947641,25.97674978,0,0.277816064,0.141563257,0,3.106448028,18.72242196,148.5577662,13.17407986,43.72415123,1.058359135,4.224267293,2.120030214,15.8357679,181.3825482,22.49968584,3.134392458,64.23865835,1.264166667,1.025557747,0.878259615,0.930512169,1.082819697,0.876155249,0.877720394,HF,HF
"3,6",Male,HF,1,0.476226509,25.82085184,39.03280359,0.364366684,0.240225969,0,3.125162502,18.0496241,147.665476,13.44694672,49.42673722,0.046991235,3.90823619,2.326859783,13.03172789,176.1275138,18.57334893,3.19808418,67.62097643,1.325,0.979306805,0.884815499,1.083371195,1.021919839,0.835933811,1.330375341,HF,HF
"2,9",Male,HF,1,0.473209019,26.30207076,0,0.427449257,0.261184113,0,3.040822873,18.24613741,147.7761819,13.19008724,51.14602357,0.793265072,4.177333539,2.258855374,1.696194017,180.4505573,18.20485936,2.996996084,66.13433341,0.8575,1.143745043,1.065318887,0.900574096,0.680371015,1.042968452,,HF,HF
"11,12",Male,HF,1,0.50718965,27.05467509,21.64080515,0.389106315,0.538601622,0,3.324101911,19.14299349,156.5079554,13.96047469,49.6298385,0.086572141,4.447119996,2.669683931,33.46783278,174.1628214,17.97925698,4.001926176,64.5898362,1.885,0.911197133,0.863184339,1.027272344,1.004116728,1.270324936,,HF,HF
"11,12",Male,NO/NO,2,1.485434652,14.51688602,0,0.293136312,0.508029834,0.059624396,3.110981104,25.16807647,64.9324716,11.76099825,11.81796613,0,3.614966889,1.269898589,0,137.9998143,8.423594572,1.871541095,22.36765609,0.793,4.483007475,0.157220143,0.223463762,0.592790349,0.120237673,0.237637321,NO,HF
"7,8",Male,NO/NO,2,1.616318292,15.89835396,4.269975986,0.335456961,0.276308656,0,3.183725476,26.72581708,71.1279888,12.62019586,15.16936207,0,3.638139772,1.248091225,5.699502778,132.8757814,8.057294799,2.030844448,22.41856388,0.778666667,3.659810829,0.352415884,0.307020752,0.646226069,0.407225571,0.768615158,NO,NO
"5,10",Male,NO/NO,2,1.530376972,16.03674564,0,0.218601905,0.40545338,0.055549001,3.050176985,24.502688,71.10338965,11.03825955,13.74243583,0.056895928,3.345084365,1.223527667,0.854158212,132.6456061,8.234450352,2.03586446,24.03621048,0.832666667,4.498654873,0.284854797,0.204817534,0.577387146,0.286937931,0.447615945,NO,NO
"6,9",Male,NO/NO,2,1.620369664,16.09724956,0,0.187833667,0.178252341,0,3.122840049,25.6140838,73.44779508,12.256221,15.2515172,0,3.907008303,1.324450701,0,135.7284199,8.25293961,2.054682842,24.31463728,1.031666667,3.27770145,0.280886801,0.242846762,0.579088695,0.357823125,,NO,NO
"2,4",Male,NO/NO,2,1.629182042,16.61405432,0,0.26002347,0.508029834,0.088121565,3.179048922,26.36645096,70.8962002,12.23217985,11.27159101,0.126077649,3.274575123,1.294458526,0,127.4670578,8.600026075,1.973165112,20.5354569,0.505,4.288104604,0.282707403,0.256949557,1.084129963,0.383378784,,NO,NO
