File,Sample,Diet,Sex,Ferm,Roast,Cocoa ,Fermentation,Roasting ,Colon
DC006118,1,LO/NO,Male,LO,NO,Cocoa,yes,no,6.4
DC006119,2,HI/HI,Male,HI,HI,Cocoa,yes,yes,7.3
DC006120,3,NO/NO,Male,NO,NO,Cocoa,no,no,6.5
DC006121,4,LO/LO,Male,LO,LO,Cocoa,yes,yes,6.75
DC006122,5,LO/LO,Male,LO,LO,Cocoa,yes,yes,7
DC006123,6,NO/LO,Male,NO,LO,Cocoa,no,yes,6.35
DC006124,7,HI/NO,Male,HI,NO,Cocoa,yes,no,6.4
DC006125,8,NO/LO,Male,NO,LO,Cocoa,no,yes,7.3
DC006126,9,NO/HI,Male,NO,HI,Cocoa,no,yes,7.25
DC006127,10,NO/HI,Male,NO,HI,Cocoa,no,yes,7.48
DC006128,11,NO/NO,Male,NO,NO,Cocoa,no,no,7.03
DC006129,12,LO/NO,Male,LO,NO,Cocoa,yes,no,7.33
DC006130,13,HF,Male,HF,HF,HF,HF,HF,5.98
DC006131,14,LO/NO,Male,LO,NO,Cocoa,yes,no,6.95
DC006132,15,LO/LO,Male,LO,LO,Cocoa,yes,yes,6.47
DC006133,16,LO/LO,Male,LO,LO,Cocoa,yes,yes,6.88
DC006134,17,HI/NO,Male,HI,NO,Cocoa,yes,no,6.93
DC006135,18,HF,Male,HF,HF,HF,HF,HF,6.1
DC006136,19,HF,Male,HF,HF,HF,HF,HF,5.53
DC006137,20,HI/HI,Male,HI,HI,Cocoa,yes,yes,7.13
DC006138,21,NO/NO,Male,NO,NO,Cocoa,no,no,7.27
DC006139,22,HI/NO,Male,HI,NO,Cocoa,yes,no,7.55
DC006140,23,HI/HI,Male,HI,HI,Cocoa,yes,yes,7.13
DC006141,24,NO/LO,Male,NO,LO,Cocoa,no,yes,6.7
DC006142,25,HI/HI,Male,HI,HI,Cocoa,yes,yes,6.2
DC006143,26,NO/HI,Male,NO,HI,Cocoa,no,yes,7.27
DC006144,27,NO/NO,Male,NO,NO,Cocoa,no,no,7.45
DC006145,30,HI/NO,Female,HI,NO,Cocoa,yes,no,6.67
DC006146,31,LO/NO,Female,LO,NO,Cocoa,yes,no,7.57
DC006147,32,HF,Female,HF,HF,HF,HF,HF,6.18
DC006148,33,NO/NO,Female,NO,NO,Cocoa,no,no,7
DC006149,34,LO/NO,Female,LO,NO,Cocoa,yes,no,5.65
DC006150,35,HI/NO,Female,HI,NO,Cocoa,no,no,7.2
DC006151,36,LO/LO,Female,LO,LO,Cocoa,yes,yes,7.35
DC006152,37,NO/HI,Female,NO,HI,Cocoa,no,yes,6.58
DC006153,38,NO/NO,Female,NO,NO,Cocoa,no,no,6.07
DC006154,39,LO/NO,Female,LO,NO,Cocoa,yes,no,5.93
DC006155,40,NO/LO,Female,NO,LO,Cocoa,no,yes,6.95
DC006156,41,NO/LO,Female,NO,LO,Cocoa,no,yes,6
DC006157,42,NO/NO,Female,NO,NO,Cocoa,no,no,6.25
DC006158,43,HF,Female,HF,HF,HF,HF,HF,5.5
DC006159,44,HF,Female,HF,HF,HF,HF,HF,5.23
DC006160,45,HI/HI,Female,HI,HI,Cocoa,yes,yes,5.83
DC006161,46,LO/LO,Female,LO,LO,Cocoa,yes,yes,6.3
DC006162,47,LO/LO,Female,LO,LO,Cocoa,yes,yes,7.15
DC006163,48,NO/HI,Female,NO,HI,Cocoa,no,yes,6.2
DC006164,50,HI/HI,Female,HI,HI,Cocoa,yes,yes,8
DC006165,51,HI/HI,Female,HI,HI,Cocoa,yes,yes,6.6
DC006166,52,NO/NO,Female,NO,NO,Cocoa,no,no,6.97
DC006167,53,NO/LO,Female,NO,LO,Cocoa,no,yes,6.83
DC006168,54,NO/HI,Female,NO,HI,Cocoa,no,yes,6.83
DC006169,MOCK,MOCK,MOCK,MOCK,MOCK,MOCK,MOCK,MOCK,NA
