Pool,Sex,Treament,LPS,LBP
"5,7",Male,HF,9.42,14.62
"1,10",Male,HF,11.57666667,14.62
"3,6",Male,HF,9.866666667,19.38333333
"2,9",Male,HF,10.82333333,17.44
"11,12",Male,HF,10.06,17.70666667
"11,12",Male,NO/NO,3.94,6.39
"7,8",Male,NO/NO,3.5,8.426666667
"5,10",Male,NO/NO,4.07,11.32666667
"6,9",Male,NO/NO,3.423333333,6.506666667
"2,4",Male,NO/NO,4.393333333,11.33666667
"1,9",Male,LO/NO,3.673333333,10.42666667
"4,6",Male,LO/NO,4.356666667,8.473333333
"3,10",Male,LO/NO,4.626666667,7.38
"2,7",Male,LO/NO,3.63,10.11333333
"5,12",Male,LO/NO,4.23,10.38666667
"1,9",Male,HI/NO,5.77,14.32
"11,2",Male,HI/NO,5.833333333,8.736666667
"7,4",Male,HI/NO,5.613333333,11.24333333
"3,5",Male,HI/NO,4.9,11.89333333
"12, 6",Male,HI/NO,5.35,9.276666667
"4, 8",Male,NO/LO,4.73,9.823333333
"1, 10",Male,NO/LO,4.676666667,9.736666667
"3, 7",Male,NO/LO,5.326666667,11.61333333
"11, 5",Male,NO/LO,6.376666667,12.42333333
"9, 6",Male,NO/LO,5.34,12.72
"6, 13",Male,NO/HI,6.576666667,7.273333333
"2, 8",Male,NO/HI,5.543333333,13.50666667
"5, 11",Male,NO/HI,6.62,11.62
"1, 3",Male,NO/HI,3.763333333,11.85333333
"4, 9",Male,NO/HI,3.523333333,13.36
"10, 11",Male,LO/LO,2.766666667,9.503333333
"6, 12",Male,LO/LO,2.803333333,9.823333333
"1, 3",Male,LO/LO,3.333333333,7.506666667
"9, 4",Male,LO/LO,3.933333333,8.296666667
"4, 5",Male,LO/LO,2.36,8.523333333
"4, 3",Male,HI/HI,3.486666667,7.416666667
"6, 5",Male,HI/HI,4.466666667,11.60666667
"1, 2",Male,HI/HI,3.61,8.253333333
"8, 2",Male,HI/HI,5.796666667,8.873333333
"9, 12",Male,HI/HI,2.676666667,13.16
"8, 12",Female,HF,11.45333333,7.384102564
"4, 6 ",Female,HF,7.523333333,7.245263158
"1, 3",Female,HF,9.32,7.185945946
"5, 11",Female,HF,9.726666667,7.0025
"7, 9",Female,HF,9.366666667,6.864571429
"4, 11",Female,NO/NO,2.72,6.792058824
"7, 12",Female,NO/NO,1.403333333,6.792058824
"3, 9",Female,NO/NO,4.476666667,6.850606061
"10, 2",Female,NO/NO,3.43,6.8428125
"5, 8",Female,NO/NO,3.326666667,6.894516129
"4, 10",Female,LO/NO,3.386666667,6.946
"3, 11",Female,LO/NO,3.513333333,6.969655172
"8, 6",Female,LO/NO,3.76,7.019285714
"9, 2",Female,LO/NO,2.853333333,7.072962963
"5, 1",Female,LO/NO,2.68,7.227692308
"11, 1",Female,HI/NO,4.586666667,7.3576
"9, 4",Female,HI/NO,4.703333333,7.38
"12, 5",Female,HI/NO,3.566666667,7.390869565
"10, 2",Female,HI/NO,2.42,7.39
"3, 7",Female,HI/NO,2.52,7.281904762
"9, 5",Female,NO/LO,6.533333333,7.2915
"4, 8",Female,NO/LO,3.796666667,7.236842105
"12, 2",Female,NO/LO,5.41,7.315555556
"7, 6",Female,NO/LO,5.336666667,7.37
"3, 10",Female,NO/LO,3.73,7.404375
"11, 3",Female,NO/HI,8.513333333,7.356666667
"12, 2",Female,NO/HI,5.756666667,7.372857143
"9, 6",Female,NO/HI,6.25,7.153076923
"10, 4",Female,NO/HI,6.553333333,7.053333333
"1, 5",Female,NO/HI,8.413333333,6.964545455
"11, 2",Female,LO/LO,2.58,6.838
"5, 1",Female,LO/LO,4.436666667,6.595555556
"10, 8",Female,LO/LO,3.85,6.71125
"12, 7",Female,LO/LO,3.46,6.757142857
"3, 9",Female,LO/LO,3.326666667,6.68
"9, 5",Female,HI/HI,4.556666667,6.532
"12, 8",Female,HI/HI,4.363333333,6.6225
"7, 3",Female,HI/HI,3.446666667,6.556666667
"10, 6",Female,HI/HI,3.696666667,7.5
"2, 11",Female,HI/HI,3.06,7.88
