OTU	Genus	HF	HIHI	HINO	LOLO	LONO	NOHI	NOLO	NONO
Otu0001	Akkermansia	19.449	3.487	6.477	20.431	11.007	11.887	21.721	22.326
Otu0002	Lactobacillus	8.919	9.924	8.534	6.701	7.108	7.972	7.231	7.596
Otu0003	Dubosiella	6.047	8.622	6.33	7.964	4.235	1.562	9.664	10.155
Otu0004	Lachnospiraceae_unclassified	23.019	25.307	27.991	20.92	26.766	25.32	16.942	17.309
Otu0005	Bacteroides	2.761	4.035	6.045	4.725	4.047	7.051	7.916	6.511
Otu0006	Clostridiales_unclassified	6.925	6.986	5.232	6.311	6.093	6.782	6.191	6.015
Otu0007	Porphyromonadaceae_unclassified	4.074	13.997	11.724	10.522	15.101	16.37	13.37	13.95
Otu0011	Clostridium	1.168	4.228	2.854	2.672	1.708	1.231	1.201	1.219
Otu0012	Lactococcus	6.114	2.352	1.936	0.932	2.617	1.654	1.12	0.645
Otu0013	Bifidobacterium	0.072	0.974	2.001	2.7	2.376	1.577	1.702	0.774
Otu0014	Kineothrix	0.888	1.821	2.09	1.601	2.875	2.599	1.27	1.419
Otu0016	Flintibacter	1.658	2.743	2.494	1.553	2.026	1.841	1.28	1.098
Otu0017	Clostridium_XlVa	1.561	1.723	0.879	1.89	1.3	1.756	1.104	1.447
Otu0018	Ruminococcaceae_unclassified	5.323	4.796	5.034	3.815	4.538	4.37	2.455	2.894
Otu0023	Parasutterella	0.703	0.419	0.422	0.614	0.921	0.607	1.436	1.566
Otu0026	Romboutsia	0.387	1.522	0.859	0.823	1.454	0.556	0.876	0.773
Otu0030	Imtechella	1.047	0.452	0.525	0.58	0.461	0.369	0.421	0.428
Otu0032	Oscillibacter	0.918	1.63	2.003	1.161	1.318	1.729	0.59	0.447
Otu0036	[Clostridium]	2.051	1.178	0.698	0.479	0.421	1.066	0.812	0.632
Otu0037	Allobacillus	0.752	0.377	0.424	0.316	0.511	0.345	0.3	0.294
Otu0049	Clostridium_IV	0.707	0.406	0.322	0.291	0.353	0.331	0.167	0.181
Otu0050	Parvibacter	0.418	0.154	0.09	0.147	0.156	0.117	0.23	0.312
Otu0051	Anaerobium	0	0.131	0.904	0.508	0	0.105	0.003	0
Otu0052	Faecalicatena	0.838	0.407	0.401	0.167	0.081	0.225	0.049	0.049
Otu0059	Clostridia_unclassified	0.221	0.206	0.252	0.246	0.283	0.226	0.193	0.242
Otu0062	[Clostridium]	0.582	0.109	0.049	0.046	0.012	0.038	0.18	0.168
Otu0069	Staphylococcus	0.02	0.017	0.888	0.002	0.007	0.001	0.006	0.001
Otu0070	Roseburia	0.924	0	0.022	0.12	0.028	0.08	0.101	0.3
Otu0073	Eubacterium	0.171	0.114	0.056	0.136	0.1	0.125	0.345	0.248
Otu0074	Lachnospiracea_incertae_sedis	0.367	0.369	0.232	0.305	0.456	0.264	0.079	0.085
Otu0076	Acutalibacter	0.406	0.08	0.091	0.089	0.073	0.183	0.109	0.129
Otu0078	Adlercreutzia	0.327	0.101	0.153	0.07	0.055	0.059	0.084	0.048
Otu0080	Bacillus	0.019	0	0.002	0.001	0.002	0.001	0.003	0.005
Otu0082	Enterococcus	0.052	0.003	0.389	0.006	0.062	0.005	0	0.003
Otu0085	Klebsiella	0.012	0.001	0.002	0.009	0.008	0.003	0.001	0.001
Otu0090	Anaerotignum	0.111	0.177	0.145	0.137	0.103	0.134	0.071	0.091
Otu0093	Acetanaerobacterium	0.048	0.184	0.054	0.095	0.148	0.138	0.057	0.094
Otu0095	Pseudoflavonifractor	0.376	0.062	0	0.064	0.046	0.301	0	0
Otu0097	Firmicutes_unclassified	0.184	0.195	0.135	0.158	0.153	0.21	0.066	0.071
Otu0107	Coriobacteriaceae_unclassified	0.028	0.068	0.11	0.05	0.133	0.118	0.084	0.08
Otu0112	Johnsonella	0.003	0.169	0.203	0.104	0.131	0.069	0.011	0.001
Otu0117	Lachnoclostridium	0.02	0.081	0.082	0.06	0.124	0.049	0.091	0.063
Otu0120	Dorea	0.048	0.106	0.069	0.068	0.074	0.118	0.027	0.016
Otu0123	Butyricicoccus	0.101	0.046	0.093	0.09	0.08	0.071	0.025	0.036
Otu0130	Bacteria_unclassified	0.037	0.119	0.192	0.132	0.234	0.139	0.073	0.07
Otu0143	Acetatifactor	0.008	0.067	0.025	0.027	0.027	0.063	0.025	0.026
Otu0145	Clostridium_XlVb	0	0	0.159	0.026	0.083	0.006	0.002	0.007
Otu0154	Neglecta	0.033	0.011	0.02	0.043	0.018	0.041	0.013	0.013
Otu0164	Sporosarcina	0.018	0.002	0.047	0.001	0.022	0.011	0.031	0.014
Otu0167	Lysinibacillus	0	0	0.185	0.001	0.001	0.001	0.003	0
Otu0169	Longibaculum	0.023	0.002	0.018	0.032	0.018	0	0.061	0.043
Otu0192	Ihubacter	0.006	0.003	0.001	0.007	0.003	0.008	0.06	0.049
Otu0209	Anaerotruncus	0.034	0.008	0.006	0.009	0.009	0.014	0.006	0.007
Otu0214	Ruthenibacterium	0	0.001	0.002	0.005	0.007	0.001	0.101	0.003
Otu0218	[Clostridium]	0.004	0.002	0.013	0.01	0.009	0.012	0.016	0.01
Otu0222	Turicibacter	0.004	0	0.001	0.002	0	0.059	0	0
Otu0223	Bacteroidetes_unclassified	0.003	0.009	0.013	0.007	0.006	0.01	0.005	0.004
Otu0225	Intestinimonas	0.002	0.008	0.009	0.011	0.005	0.01	0.017	0.025
Otu0230	Harryflintia	0.01	0.006	0.014	0.009	0.009	0.007	0.004	0.006
